epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.646,1.29785,2.18862,1.08147,0.20528,0.81818,0.25966,0.13491,1.59661,2.61795,1.25225,0.0006625,0.0006625,0.0006625
2,337.526,1.43673,2.80833,1.15567,0.48017,0.47727,0.51077,0.16329,2.10258,3.3904,1.6521,0.0012853,0.0012853,0.0012853
3,507.139,1.6696,3.97029,1.40065,0.00053,0.15909,0.00031,5e-05,4.13003,30.1249,8.58531,0.00186411,0.00186411,0.00186411
4,686.918,1.85931,2.59552,1.6089,0.25806,0.36364,0.25059,0.09851,1.69274,68.7143,2.18666,0.001802,0.001802,0.001802
5,871.422,1.70793,2.62402,1.52428,0.46595,0.59493,0.54429,0.20317,2.18023,15.3726,2.43679,0.001736,0.001736,0.001736
6,1088.6,1.70066,1.85194,1.45653,0.19722,0.68182,0.31793,0.18395,1.47844,11.216,1.49992,0.00167,0.00167,0.00167
7,1276.33,1.74305,1.44101,1.46868,0.57173,0.75861,0.69015,0.40337,1.53576,2.52239,1.45125,0.001604,0.001604,0.001604
8,1461.8,1.47208,1.24466,1.27117,0.85374,0.93182,0.95188,0.52181,1.44937,2.04434,1.4499,0.001538,0.001538,0.001538
9,1649.86,1.40164,1.05933,1.21599,0.67253,0.97727,0.77816,0.44603,1.46955,1.81528,1.37627,0.001472,0.001472,0.001472
10,1838.61,1.32537,0.99162,1.18998,0.92602,0.85363,0.94603,0.52381,1.41452,1.3418,1.26414,0.001406,0.001406,0.001406
11,2027.28,1.28588,0.99525,1.19774,0.88603,0.93182,0.96645,0.55388,1.38994,1.0086,1.3208,0.00134,0.00134,0.00134
12,2215.87,1.33326,1.0254,1.20743,0.68787,0.85156,0.82072,0.48802,1.26102,1.14973,1.25728,0.001274,0.001274,0.001274
13,2404.32,1.20725,0.85935,1.10203,0.75139,0.89304,0.85766,0.54399,1.27022,1.64853,1.23314,0.001208,0.001208,0.001208
14,2591.23,1.18495,0.83403,1.11637,0.8958,0.95455,0.95202,0.62502,1.25629,1.00575,1.18134,0.001142,0.001142,0.001142
15,2779.94,1.09151,0.79677,1.07682,0.94551,0.93182,0.97129,0.61212,1.17962,0.93721,1.14003,0.001076,0.001076,0.001076
16,2968.68,1.11243,0.82699,1.11097,0.96502,0.97727,0.98918,0.68335,1.10245,0.86967,1.10903,0.00101,0.00101,0.00101
17,3152.03,1.15348,0.80329,1.08728,0.91624,1,0.99167,0.6805,1.17906,0.83411,1.14338,0.000944,0.000944,0.000944
18,3339.89,1.151,0.83543,1.12436,0.95397,1,0.99413,0.68655,1.12534,0.79614,1.11672,0.000878,0.000878,0.000878
19,3528.3,1.13491,0.75049,1.11012,0.98726,0.97727,0.9926,0.66822,1.21851,0.89494,1.15574,0.000812,0.000812,0.000812
20,3716.99,1.11784,0.72619,1.0584,0.99217,0.97727,0.99372,0.69682,1.11279,0.78598,1.09893,0.000746,0.000746,0.000746
21,3905.11,1.12117,0.71578,1.10024,0.97759,0.99177,0.99456,0.7068,1.09963,0.72642,1.07519,0.00068,0.00068,0.00068
22,4092.32,1.07597,0.65774,1.09527,0.95369,1,0.995,0.67538,1.18703,0.79052,1.09889,0.000614,0.000614,0.000614
23,7592.7,1.08336,0.67444,1.08369,0.97124,1,0.99256,0.66853,1.14267,0.80652,1.06683,0.000548,0.000548,0.000548
24,7775.97,1.01898,0.65542,1.04472,0.9724,1,0.99167,0.65985,1.12994,0.76047,1.07913,0.000482,0.000482,0.000482
25,7961.15,1.00426,0.63891,1.05961,0.97437,1,0.99256,0.69995,1.1252,0.70861,1.10853,0.000416,0.000416,0.000416
26,8176.35,0.98952,0.60715,1.03895,0.97507,1,0.99256,0.72685,1.06669,0.67587,1.05659,0.00035,0.00035,0.00035
27,8401.01,0.9816,0.63204,1.02949,0.97515,1,0.99456,0.72746,1.06023,0.6967,1.04181,0.000284,0.000284,0.000284
28,8658.34,1.00509,0.63739,1.07539,0.97393,1,0.99367,0.72073,1.07378,0.71089,1.04157,0.000218,0.000218,0.000218
29,8914.33,0.87984,0.56897,0.98125,0.9531,1,0.98543,0.68525,1.07888,0.79089,1.03621,0.000152,0.000152,0.000152
30,9139.07,0.88912,0.58375,0.97518,0.95621,0.99263,0.98799,0.70021,1.06023,0.7329,1.03067,8.6e-05,8.6e-05,8.6e-05
